symbol,timestamp,currentPrice,rd,min,max,avg,macd,rsi,bollingerBands,ema,adx,stochK,stochD,volume,williamsR,atr,cci
EMR,2024-04-19T11:40:16-04:00[America/New_York],109.68000030517578,0.03297476568637039,109.30999755859375,114.66999816894531,112.660624504089353125,-0.84267372397093354715974910885,23.416308528057291759368152332911,"(108.66216684111168110386886652166,112.04986207110278045373275521533,115.43755730109387980359664390900)",112.04986207110278045373275521533,22.487423571657338211736104181034,6.2185287717709831873357867477418,2.0728429239236610624452622492473,652971,-93.781471228229016812664213252258,0.90507208834950017453638914911662,-162.58647079228112744428859006718
AON,2024-04-19T11:40:03-04:00[America/New_York],310.0450134277344,0.07094266962234437,304.04998779296875,333.7200012207031,316.136562347412109375,-6.80593264399704773121518602481,29.580430355152849111172215014466,"(296.46579324070529533805807121002,314.87929657479494996520495253728,333.29279990888460459235183386454)",314.87929657479494996520495253728,55.356638728155321556660502154512,18.728596706657694050170463645863,11.855740213912224518799305433735,144819,-81.271403293342305949829536354137,3.6252633716034065458260413738988,-62.681943991607927694399202047859
PNC,2024-04-19T11:40:48-04:00[America/New_York],152.05999755859375,0.059034704112640043,146.5399932861328,161.60000610351562,154.741874694824219375,-3.21523030853656994224996820098,38.725181893206904498434132076755,"(143.62571595518554933626008003726,153.67471370863189591122946715859,163.72371146207824248619885427992)",153.67471370863189591122946715859,30.095233455223818105445551984723,35.159235544981377370012122700983,16.093442030253273186863810443757,910814,-64.840764455018622629987877299017,2.0984965970145357784193309726869,-49.248398920198901778929892252921
NVDA,2024-04-19T11:41:15-04:00[America/New_York],821.27001953125,0.09107306459968363,821.27001953125,906.1599731445312,872.265628814697275,-14.84000278440846471241064240905,33.509193071387817692046166046047,"(820.30312137585967966059798204545,867.78424774638756954134737011506,915.26537411691545942209675818467)",867.78424774638756954134737011506,34.217930905543983112849437967142,0,2.5885406963023482704226751624002,25292181,-100,20.709762675378350345581515279222,-198.57477430035386198776255038371
MSFT,2024-04-19T11:41:14-04:00[America/New_York],401.43499755859375,0.04583809566018883,401.43499755859375,427.92999267578125,418.769062042236328125,-3.30692576545013935795928135951,26.890188161940981435792930741017,"(401.07684140001003756152877126136,416.08128964272699215172181409538,431.08573788544394674191485692940)",416.08128964272699215172181409538,21.727373497867609262043424484221,0,0,12417282,-100,4.2296311335953071395468783655634,-215.23058177845624871323397685449
AAPL,2024-04-19T11:41:16-04:00[America/New_York],165.13999938964844,0.03697222122610795,165.13999938964844,176.5500030517578,169.88374900817871,-0.78951275761370293860198594056,36.535917730353324284518499742066,"(164.14642908059051435776429320277,169.73117602396602065100144122298,175.31592296734152694423858924319)",169.73117602396602065100144122298,15.194055610634756589497552894345,0,0.69313542100836264860118964791393,23387676,-100,1.9789502032222770812832843966473,-154.43328203042685310303228893677
AMZN,2024-04-19T11:41:15-04:00[America/New_York],176.1999969482422,0.02317334417019185,176.1999969482422,189.0500030517578,182.82187652587890625,-0.03931020313220179562960155107,33.875436970917582886815026973025,"(175.73253172492226527787936822591,182.06592185457742391281288290087,188.39931198423258254774639757583)",182.06592185457742391281288290087,20.651484122745575444447933963359,0E+1,4.367104126743179554106715490185,19267475,-100,2.3539967424784058689603642400270,-163.12877958412150476520142082720
GOOG,2024-04-19T11:41:15-04:00[America/New_York],156.3699951171875,-0.026993305915080902,151.94000244140625,160.7899932861328,156.364999771118165625,1.18274973746517090672197194276,54.213468659170440216840622150583,"(151.82342745841836089008415919289,156.19989286904586702849723786609,160.57635827967337316691031653929)",156.19989286904586702849723786609,15.464368876248267048436811527882,45.389294765263038872552656604384,50.85385167385568499211479031518,5963242,-54.610705234736961127447343395616,1.6818121906252592167734736265159,3.4728827402102914621532642877700
GOOGL,2024-04-19T11:41:15-04:00[America/New_York],154.77999877929688,-0.025508555557847153,150.52999877929688,159.41000366210938,154.9487495422363275,1.13320231136424493438083286831,53.466473114481126454755848262250,"(150.40893109940477511540789557224,154.75766872166168333714255175197,159.10640634391859155887720793170)",154.75766872166168333714255175197,14.224529376455407221745071154548,43.859638072322592991749244268641,50.464377271496157377548047034623,10225412,-56.140361927677407008250755731359,1.7062028729705861983093864756509,-3.8574855228984538018816149583626
META,2024-04-19T11:41:14-04:00[America/New_York],487.5299987792969,-0.004015841387526158,485.5799865722656,527.3400268554688,505.864377975463871875,2.50438231458238535179128802987,42.240851094236379034505892562092,"(476.27454918559072687563729030928,501.63105583019717728295271307329,526.98756247480362769026813583730)",501.63105583019717728295271307329,26.959206499966683583057401837774,4.2474668949780343653262373603954,19.429345929450039263252908959684,8634861,-95.752533105021965634673762639605,10.172233765519027689126901314463,-97.150511106394581098104314808543
